Name,URL
Shaquille O'Neal,https://www.basketball-reference.com/players/o/onealsh01.html
Allen Iverson,https://www.basketball-reference.com/players/i/iversal01.html
Tim Duncan,https://www.basketball-reference.com/players/d/duncati01.html
Kevin Garnett,https://www.basketball-reference.com/players/g/garneke01.html
Steve Nash,https://www.basketball-reference.com/players/n/nashst01.html
Dirk Nowitzki,https://www.basketball-reference.com/players/n/nowitdi01.html
Kobe Bryant,https://www.basketball-reference.com/players/b/bryanko01.html
LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html
Derrick Rose,https://www.basketball-reference.com/players/r/rosede01.html
Kevin Durant,https://www.basketball-reference.com/players/d/duranke01.html
Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html
Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html
James Harden,https://www.basketball-reference.com/players/h/hardeja01.html
Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html
