Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2003-04,19,CLE,79.0,20.9,5.5,5.9,0.754,0.438,18.3,0.488,0.0774,
2004-05,20,CLE,80.0,27.2,7.4,7.2,0.75,0.504,25.7,0.554,0.36,
2005-06,21,CLE,79.0,31.4,7.0,6.6,0.738,0.515,28.1,0.568,0.3957,
2006-07,22,CLE,78.0,27.3,6.7,6.0,0.698,0.507,24.5,0.552,0.2568,
2007-08,23,CLE,75.0,30.0,7.9,7.2,0.712,0.518,29.1,0.568,0.412,
2008-09,24,CLE,81.0,28.4,7.6,7.2,0.78,0.53,31.7,0.591,0.4869,
2009-10,25,CLE,76.0,29.7,7.3,8.6,0.767,0.545,31.1,0.604,0.5231,
2010-11,26,MIA,79.0,26.7,7.5,7.0,0.759,0.541,27.3,0.594,0.42,
2011-12,27,MIA,62.0,27.1,7.9,6.2,0.771,0.554,30.7,0.605,0.4683,Yes
2012-13,28,MIA,76.0,26.8,8.0,7.3,0.753,0.603,31.6,0.64,0.5355,Yes
2013-14,29,MIA,77.0,27.1,6.9,6.3,0.75,0.61,29.3,0.649,0.4695,Yes
2014-15,30,CLE,69.0,25.3,6.0,7.4,0.71,0.535,25.9,0.577,0.3004,
2015-16,31,CLE,76.0,25.3,7.4,6.8,0.731,0.551,27.5,0.588,0.378,
2016-17,32,CLE,74.0,26.4,8.6,8.7,0.674,0.594,27.0,0.619,0.4623,
2017-18,33,CLE,82.0,27.5,8.6,9.1,0.731,0.59,28.6,0.621,0.5425,
2018-19,34,LAL,55.0,27.4,8.5,8.3,0.665,0.56,25.6,0.588,0.402,
2019-20,35,LAL,67.0,25.3,7.8,10.2,0.693,0.55,25.5,0.577,0.4146,
2020-21,36,LAL,19.0,25.6,7.8,7.3,0.714,0.572,24.9,0.601,0.3915,
